"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14286","Validates the Double At scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 10:59:45 IST 2026","passed","Thu Feb 26 10:59:59 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","double_at"
"","6515","Validates the Mobile Valid Format But Unregistered scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:11:43 IST 2026","passed","Thu Feb 26 11:11:50 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","mobile_valid_format_but_unregistered"
"","10245","Validates the Mixed scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:21:30 IST 2026","failed","Thu Feb 26 11:21:40 IST 2026","tests.RegisterMobileTest","Surefire test","tests.RegisterMobileTest","MB_06_Mixed"
"","3138","Validates the No Lowercase scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:23:05 IST 2026","broken","Thu Feb 26 11:23:08 IST 2026","tests.RegisterPasswordTest","Surefire test","tests.RegisterPasswordTest","PW_04_NoLowercase"
"","12350","Validates the Numeric Only scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:15:18 IST 2026","passed","Thu Feb 26 11:15:31 IST 2026","tests.RegisterEmailTest","Surefire test","tests.RegisterEmailTest","EM_10_NumericOnly"
"","12428","Validates the Script Injection scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:02:42 IST 2026","passed","Thu Feb 26 11:02:54 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","script_injection"
"","2730","Validates the Spaces scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:14:05 IST 2026","broken","Thu Feb 26 11:14:07 IST 2026","tests.RegisterEmailTest","Surefire test","tests.RegisterEmailTest","EM_05_Spaces"
"","2718","Validates the Only Letters scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:23:49 IST 2026","broken","Thu Feb 26 11:23:51 IST 2026","tests.RegisterPasswordTest","Surefire test","tests.RegisterPasswordTest","PW_09_OnlyLetters"
"","2333","Validates the Valid scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:23:58 IST 2026","broken","Thu Feb 26 11:24:00 IST 2026","tests.RegisterPasswordTest","Surefire test","tests.RegisterPasswordTest","PW_10_Valid"
"","3465","Validates the Valid Format scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:22:31 IST 2026","passed","Thu Feb 26 11:22:34 IST 2026","tests.RegisterMobileTest","Surefire test","tests.RegisterMobileTest","MB_10_ValidFormat"
"","3596","Validates the Long Name scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:19:20 IST 2026","broken","Thu Feb 26 11:19:24 IST 2026","tests.RegisterLastNameTest","Surefire test","tests.RegisterLastNameTest","LN_06_LongName"
"","7729","Validates the Password Special Chars Only scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:12:53 IST 2026","passed","Thu Feb 26 11:13:01 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","password_special_chars_only"
"","12773","Validates the Missing Domain scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:01:05 IST 2026","passed","Thu Feb 26 11:01:18 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","missing_domain"
"","2628","Validates the Alpha Numeric scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:16:16 IST 2026","broken","Thu Feb 26 11:16:19 IST 2026","tests.RegisterFirstNameTest","Surefire test","tests.RegisterFirstNameTest","FN_05_AlphaNumeric"
"","9523","Validates the Email Uppercase scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:09:00 IST 2026","passed","Thu Feb 26 11:09:10 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","email_uppercase"
"","4055","Validates the Leading Space scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:16:42 IST 2026","broken","Thu Feb 26 11:16:46 IST 2026","tests.RegisterFirstNameTest","Surefire test","tests.RegisterFirstNameTest","FN_08_LeadingSpace"
"","5650","Validates the Valid scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:17:00 IST 2026","broken","Thu Feb 26 11:17:06 IST 2026","tests.RegisterFirstNameTest","Surefire test","tests.RegisterFirstNameTest","FN_10_Valid"
"","5362","Validates the Password Empty scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:12:04 IST 2026","passed","Thu Feb 26 11:12:10 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","password_empty"
"","2562","Validates the Only Numbers scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:23:41 IST 2026","broken","Thu Feb 26 11:23:44 IST 2026","tests.RegisterPasswordTest","Surefire test","tests.RegisterPasswordTest","PW_08_OnlyNumbers"
"","12595","Validates the Single Character Username scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:03:04 IST 2026","passed","Thu Feb 26 11:03:16 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","single_character_username"
"","4857","Validates the Empty scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:20:20 IST 2026","broken","Thu Feb 26 11:20:25 IST 2026","tests.RegisterMobileTest","Surefire test","tests.RegisterMobileTest","MB_01_Empty"
"","6837","Validates the Special scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:21:18 IST 2026","passed","Thu Feb 26 11:21:25 IST 2026","tests.RegisterMobileTest","Surefire test","tests.RegisterMobileTest","MB_05_Special"
"","9509","Validates the Email Long String scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:06:45 IST 2026","passed","Thu Feb 26 11:06:55 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","email_long_string"
"","4391","Validates the Double Submit scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:18:20 IST 2026","broken","Thu Feb 26 11:18:24 IST 2026","tests.RegisterFullFlowTest","Surefire test","tests.RegisterFullFlowTest","FF_09_DoubleSubmit"
"","2888","Validates the Mismatch scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:23:33 IST 2026","broken","Thu Feb 26 11:23:36 IST 2026","tests.RegisterPasswordTest","Surefire test","tests.RegisterPasswordTest","PW_07_Mismatch"
"","2952","Validates the No Terms scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:17:11 IST 2026","broken","Thu Feb 26 11:17:14 IST 2026","tests.RegisterFullFlowTest","Surefire test","tests.RegisterFullFlowTest","FF_01_NoTerms"
"","4072","Validates the Mismatch Password scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:17:42 IST 2026","broken","Thu Feb 26 11:17:46 IST 2026","tests.RegisterFullFlowTest","Surefire test","tests.RegisterFullFlowTest","FF_05_MismatchPassword"
"","3538","Validates the Mobile Script Injection scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:11:00 IST 2026","passed","Thu Feb 26 11:11:04 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","mobile_script_injection"
"","2752","Validates the Long Name scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:16:27 IST 2026","broken","Thu Feb 26 11:16:30 IST 2026","tests.RegisterFirstNameTest","Surefire test","tests.RegisterFirstNameTest","FN_06_LongName"
"","11719","Validates the Long Email scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:15:01 IST 2026","failed","Thu Feb 26 11:15:13 IST 2026","tests.RegisterEmailTest","Surefire test","tests.RegisterEmailTest","EM_09_LongEmail"
"","8267","Validates the Email Leading Space scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:06:32 IST 2026","passed","Thu Feb 26 11:06:41 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","email_leading_space"
